E[P(A)],E[P(B)],Method,score
0.4,0.6,Greedy,0.404
0.4,0.6,Ɛ-Greedy,0.5888
0.4,0.6,UCB,0.5927999999999999
0.4,0.6,Thompson Sampling,0.599
0.4,0.7,Greedy,0.7081999999999999
0.4,0.7,Ɛ-Greedy,0.6844
0.4,0.7,UCB,0.6851999999999999
0.4,0.7,Thompson Sampling,0.6981999999999999
0.4,0.8,Greedy,0.40140000000000003
0.4,0.8,Ɛ-Greedy,0.7856000000000001
0.4,0.8,UCB,0.7836000000000001
0.4,0.8,Thompson Sampling,0.7968000000000001
0.4,0.9,Greedy,0.9058000000000002
0.4,0.9,Ɛ-Greedy,0.8692
0.4,0.9,UCB,0.8940000000000001
0.4,0.9,Thompson Sampling,0.8966
0.5,0.1,Greedy,0.5
0.5,0.1,Ɛ-Greedy,0.48200000000000004
0.5,0.1,UCB,0.49759999999999993
0.5,0.1,Thompson Sampling,0.5042
0.5,0.2,Greedy,0.20539999999999997
0.5,0.2,Ɛ-Greedy,0.48760000000000003
0.5,0.2,UCB,0.48480000000000006
0.5,0.2,Thompson Sampling,0.5016
0.5,0.3,Greedy,0.513
0.5,0.3,Ɛ-Greedy,0.4864
0.5,0.3,UCB,0.47800000000000004
0.5,0.3,Thompson Sampling,0.5004000000000001
0.5,0.4,Greedy,0.4048
0.5,0.4,Ɛ-Greedy,0.5048
0.5,0.4,UCB,0.49639999999999995
0.5,0.4,Thompson Sampling,0.4986
0.5,0.5,Greedy,0.493
0.5,0.5,Ɛ-Greedy,0.497
0.5,0.5,UCB,0.5004000000000001
0.5,0.5,Thompson Sampling,0.4962
0.5,0.6,Greedy,0.4888
0.5,0.6,Ɛ-Greedy,0.6034
0.5,0.6,UCB,0.5917999999999999
0.5,0.6,Thompson Sampling,0.5884
0.5,0.7,Greedy,0.7005999999999999
0.5,0.7,Ɛ-Greedy,0.6950000000000001
0.5,0.7,UCB,0.6844000000000001
0.5,0.7,Thompson Sampling,0.7016
0.5,0.8,Greedy,0.8148
0.5,0.8,Ɛ-Greedy,0.7844
0.5,0.8,UCB,0.7971999999999999
0.5,0.8,Thompson Sampling,0.8002
0.5,0.9,Greedy,0.491
0.5,0.9,Ɛ-Greedy,0.8834000000000002
0.5,0.9,UCB,0.8982000000000001
0.5,0.9,Thompson Sampling,0.8976000000000001
0.6,0.1,Greedy,0.596
0.6,0.1,Ɛ-Greedy,0.5686
0.6,0.1,UCB,0.5980000000000001
0.6,0.1,Thompson Sampling,0.599
0.6,0.2,Greedy,0.6032
0.6,0.2,Ɛ-Greedy,0.5916
0.6,0.2,UCB,0.5813999999999999
0.6,0.2,Thompson Sampling,0.597
0.6,0.3,Greedy,0.5917999999999999
0.6,0.3,Ɛ-Greedy,0.5786
0.6,0.3,UCB,0.5855999999999999
0.6,0.3,Thompson Sampling,0.5957999999999999
0.6,0.4,Greedy,0.6026
0.6,0.4,Ɛ-Greedy,0.5836
0.6,0.4,UCB,0.5864
0.6,0.4,Thompson Sampling,0.5972
0.6,0.5,Greedy,0.5126000000000001
0.6,0.5,Ɛ-Greedy,0.596
0.6,0.5,UCB,0.5811999999999999
0.6,0.5,Thompson Sampling,0.6043999999999998
0.6,0.6,Greedy,0.5984
0.6,0.6,Ɛ-Greedy,0.608
0.6,0.6,UCB,0.5927999999999999
0.6,0.6,Thompson Sampling,0.5976
0.6,0.7,Greedy,0.6128
0.6,0.7,Ɛ-Greedy,0.6921999999999999
0.6,0.7,UCB,0.6926
0.6,0.7,Thompson Sampling,0.6836
0.6,0.8,Greedy,0.8061999999999999
0.6,0.8,Ɛ-Greedy,0.787
0.6,0.8,UCB,0.7878000000000001
0.6,0.8,Thompson Sampling,0.7978
0.6,0.9,Greedy,0.5936
0.6,0.9,Ɛ-Greedy,0.8848
0.6,0.9,UCB,0.8936
0.6,0.9,Thompson Sampling,0.8981999999999999
0.7,0.1,Greedy,0.7055999999999999
0.7,0.1,Ɛ-Greedy,0.667
0.7,0.1,UCB,0.6968
0.7,0.1,Thompson Sampling,0.6976
0.7,0.2,Greedy,0.6940000000000001
0.7,0.2,Ɛ-Greedy,0.6752
0.7,0.2,UCB,0.6978
0.7,0.2,Thompson Sampling,0.6928000000000001
0.7,0.3,Greedy,0.694
0.7,0.3,Ɛ-Greedy,0.6658
0.7,0.3,UCB,0.6885999999999999
0.7,0.3,Thompson Sampling,0.6816
0.7,0.4,Greedy,0.6972
0.7,0.4,Ɛ-Greedy,0.6841999999999999
0.7,0.4,UCB,0.7026
0.7,0.4,Thompson Sampling,0.6948000000000001
0.7,0.5,Greedy,0.7068
0.7,0.5,Ɛ-Greedy,0.6806
0.7,0.5,UCB,0.6886000000000001
0.7,0.5,Thompson Sampling,0.7
0.7,0.6,Greedy,0.6971999999999999
0.7,0.6,Ɛ-Greedy,0.6888
0.7,0.6,UCB,0.6808000000000001
0.7,0.6,Thompson Sampling,0.6950000000000001
0.7,0.7,Greedy,0.6981999999999998
0.7,0.7,Ɛ-Greedy,0.7121999999999999
0.7,0.7,UCB,0.6970000000000001
0.7,0.7,Thompson Sampling,0.697
0.7,0.8,Greedy,0.7908000000000001
0.7,0.8,Ɛ-Greedy,0.8018000000000001
0.7,0.8,UCB,0.7904000000000001
0.7,0.8,Thompson Sampling,0.8008
0.7,0.9,Greedy,0.705
0.7,0.9,Ɛ-Greedy,0.8863999999999999
0.7,0.9,UCB,0.8855999999999999
0.7,0.9,Thompson Sampling,0.8984
0.8,0.1,Greedy,0.8013999999999999
0.8,0.1,Ɛ-Greedy,0.7684000000000001
0.8,0.1,UCB,0.7876000000000001
0.8,0.1,Thompson Sampling,0.7886
0.8,0.2,Greedy,0.8018000000000001
0.8,0.2,Ɛ-Greedy,0.7698
0.8,0.2,UCB,0.7870000000000001
0.8,0.2,Thompson Sampling,0.7934
0.8,0.3,Greedy,0.8044
0.8,0.3,Ɛ-Greedy,0.7714000000000001
0.8,0.3,UCB,0.7899999999999999
0.8,0.3,Thompson Sampling,0.8014000000000001
0.8,0.4,Greedy,0.7962
0.8,0.4,Ɛ-Greedy,0.7732
0.8,0.4,UCB,0.7817999999999999
0.8,0.4,Thompson Sampling,0.7996000000000001
0.8,0.5,Greedy,0.7982
0.8,0.5,Ɛ-Greedy,0.7788
0.8,0.5,UCB,0.7958000000000001
0.8,0.5,Thompson Sampling,0.7941999999999999
0.8,0.6,Greedy,0.6082
0.8,0.6,Ɛ-Greedy,0.7864000000000001
0.8,0.6,UCB,0.7950000000000002
0.8,0.6,Thompson Sampling,0.8008000000000001
0.8,0.7,Greedy,0.7093999999999999
0.8,0.7,Ɛ-Greedy,0.7932
0.8,0.7,UCB,0.7807999999999999
0.8,0.7,Thompson Sampling,0.7942
0.8,0.8,Greedy,0.7956
0.8,0.8,Ɛ-Greedy,0.7954000000000001
0.8,0.8,UCB,0.8088
0.8,0.8,Thompson Sampling,0.8034000000000001
0.8,0.9,Greedy,0.8937999999999999
0.8,0.9,Ɛ-Greedy,0.8927999999999999
0.8,0.9,UCB,0.8897999999999999
0.8,0.9,Thompson Sampling,0.9
0.9,0.1,Greedy,0.9
0.9,0.1,Ɛ-Greedy,0.8538
0.9,0.1,UCB,0.893
0.9,0.1,Thompson Sampling,0.8959999999999999
0.9,0.2,Greedy,0.8981999999999999
0.9,0.2,Ɛ-Greedy,0.8667999999999999
0.9,0.2,UCB,0.8942
0.9,0.2,Thompson Sampling,0.8992000000000001
0.9,0.3,Greedy,0.8977999999999999
0.9,0.3,Ɛ-Greedy,0.8671999999999999
0.9,0.3,UCB,0.8942
0.9,0.3,Thompson Sampling,0.9002000000000001
0.9,0.4,Greedy,0.9006000000000001
0.9,0.4,Ɛ-Greedy,0.8729999999999999
